observation_id,photo_id,image_id,license_code,square_url,medium_url,large_url,original_url,scientific_name,common_name,taxon_rank,ob_license_code,quality_grade,uri,pred_prey,special_type_of_feeding,taxon_kingdom,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species
341194952,621071156,obs_341194952_photo_621071156,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/original.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,Pred,Predation,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
341194952,621071168,obs_341194952_photo_621071168,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/621071168/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071168/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071168/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071168/original.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,Pred,Predation,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
341194952,621071177,obs_341194952_photo_621071177,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/621071177/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071177/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071177/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071177/original.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,Pred,Predation,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
341194952,621071190,obs_341194952_photo_621071190,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/621071190/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071190/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071190/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071190/original.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,Pred,Predation,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
341194952,621071213,obs_341194952_photo_621071213,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/621071213/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071213/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071213/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071213/original.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,Pred,Predation,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba
341067936,620805844,obs_341067936_photo_620805844,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/original.jpg,Apis mellifera,Western Honey Bee,species,cc-by-nc,research,https://www.inaturalist.org/observations/341067936,Pred,Pollination,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
341067936,620805858,obs_341067936_photo_620805858,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/620805858/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805858/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805858/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805858/original.jpg,Apis mellifera,Western Honey Bee,species,cc-by-nc,research,https://www.inaturalist.org/observations/341067936,Pred,Pollination,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
341067936,620805991,obs_341067936_photo_620805991,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/620805991/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805991/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805991/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805991/original.jpg,Apis mellifera,Western Honey Bee,species,cc-by-nc,research,https://www.inaturalist.org/observations/341067936,Pred,Pollination,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
341060278,547585371,obs_341060278_photo_547585371,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/original.jpg,Chamaenerion angustifolium,fireweed,species,cc-by-nc,research,https://www.inaturalist.org/observations/341060278,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
341060278,547585422,obs_341060278_photo_547585422,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/547585422/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585422/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585422/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585422/original.jpg,Chamaenerion angustifolium,fireweed,species,cc-by-nc,research,https://www.inaturalist.org/observations/341060278,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
341060278,547585471,obs_341060278_photo_547585471,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/547585471/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585471/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585471/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585471/original.jpg,Chamaenerion angustifolium,fireweed,species,cc-by-nc,research,https://www.inaturalist.org/observations/341060278,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
341060248,547586114,obs_341060248_photo_547586114,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/547586114/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547586114/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547586114/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547586114/original.jpg,Chamaenerion angustifolium,fireweed,species,cc-by-nc,research,https://www.inaturalist.org/observations/341060248,Prey,Pollination,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
