id,uuid,quality_grade,url,image_url,description,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,"field:id meant for ""eater"" or organism being eaten?","field:url for ""partner"" observation",field:is observation one of these special types of feeding?
10686,6662b18b-6343-460b-90e8-d494df9766e8,research,http://www.inaturalist.org/observations/10686,https://static.inaturalist.org/photos/22224/medium.JPG,House mice on Gough Island have learnt to eat seabirds. Even Albatrosses are now threatened with extinction from mouse predation!,House Mouse,Mus musculus,House Mouse,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,,Murini,,Mus,,Mus musculus,,,,,eater,https://www.inaturalist.org/observations/1766953,"No, none of these"
338604,c127ae38-c311-40bb-bc5f-2e48d8e02c59,research,http://conabio.inaturalist.org/observations/338604,https://inaturalist-open-data.s3.amazonaws.com/photos/421440/medium.jpg,"Correcaminos que atacó, cazó y se comió a un chilero joven <i>Passer domesticus</i> en el lecho seco del Río Nazas en Torreón, Coahuila.",Correcaminos norteño,Geococcyx californianus,Greater Roadrunner,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Cuculiformes,,,Cuculidae,Neomorphinae,,,,Geococcyx,,Geococcyx californianus,,,,,eater,,"No, none of these"
414645,8900f5f2-3c54-4397-b215-7033ab0c0e4b,research,http://www.inaturalist.org/observations/414645,https://inaturalist-open-data.s3.amazonaws.com/photos/521779/medium.jpg,found lying in open on short grass. Cause of death unknown but during latter part of night.Tail damaged which made subcaudal count inexact but 28 considered very close.,Cape Wolf Snake,Lycophidion capense,Cape Wolf Snake,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Lamprophiidae,,,,,Lycophidion,,Lycophidion capense,,,,,eater,https://www.inaturalist.org/observations/414707,
414707,f71bf6a5-7cc2-49c3-b5dd-df5716f5cb32,research,http://www.inaturalist.org/observations/414707,https://inaturalist-open-data.s3.amazonaws.com/photos/521820/medium.jpg,Refers to record of Cape Wolf Snake this date & locality. Found in snake's stomach,Sundevall's Writhing Skink,Mochlus sundevallii,Sundevall's Writhing Skink,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Lygosominae,,,,Mochlus,,Mochlus sundevallii,,,,,thing being eaten,https://www.inaturalist.org/observations/414645,
420386,56bf357d-9c01-4e0a-8cdb-a4f7aa548081,research,http://www.inaturalist.org/observations/420386,https://inaturalist-open-data.s3.amazonaws.com/photos/529902/medium.jpg,"Constricting what appears to be Nerodia erythrogaster.

Mason Farm Biological Preserve, Orange/Durham Counties, NC",Eastern Kingsnake,Lampropeltis getula,Eastern Kingsnake,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Lampropeltis,,Lampropeltis getula,,,,,,,
424251,0b5b8c21-ad63-4df2-ab19-58fcee183bec,research,http://www.inaturalist.org/observations/424251,https://inaturalist-open-data.s3.amazonaws.com/photos/534568/medium.jpg,Black and Yellow Argiope spider eating house lizard.,Mediterranean House Gecko,Hemidactylus turcicus,Mediterranean Gecko,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Gekkonidae,,,,,Hemidactylus,,Hemidactylus turcicus,,,,,organism being eaten,,"No, none of these"
465679,4b178d06-2eb0-4d39-aa4b-4b7c33e85972,research,http://www.inaturalist.org/observations/465679,https://inaturalist-open-data.s3.amazonaws.com/photos/587403/medium.jpg,a pair fishing in stream,Cape Clawless Otter,Lutra capensis capensis,Cape Clawless Otter,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Lutrinae,,,,Lutra,,Lutra capensis,,Lutra capensis capensis,,,eater,https://www.inaturalist.org/observations/66466718,
503139,cd575094-cba5-449e-8655-5562605a7613,research,http://www.inaturalist.org/observations/503139,https://inaturalist-open-data.s3.amazonaws.com/photos/640325/medium.jpg,"",Stripe-bellied Sand Snake,Psammophis subtaeniatus,Stripe-bellied Sand Snake,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Psammophiidae,,,,,Psammophis,,Psammophis subtaeniatus,,,,,,,
509046,aac5dd6f-a67f-4396-a835-a16a411fbf1e,research,http://www.inaturalist.org/observations/509046,https://inaturalist-open-data.s3.amazonaws.com/photos/649315/medium.jpg,"
",Black Mamba,Dendroaspis polylepis,Black Mamba,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Elapidae,,,,,Dendroaspis,,Dendroaspis polylepis,,,,,eater,https://www.inaturalist.org/observations/66466454,
518909,c0a27015-4f91-4657-b7d6-64e4151f3bf6,research,http://www.inaturalist.org/observations/518909,https://inaturalist-open-data.s3.amazonaws.com/photos/661138/medium.JPG,Namaqua Chameleon,Namaqua Chameleon,Chamaeleo namaquensis,Namaqua Chameleon,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Chamaeleonidae,,,,,Chamaeleo,,Chamaeleo namaquensis,,,,,eater,https://www.inaturalist.org/observations/66466205,
526854,cf88b2bd-89a9-4193-bc2b-6387c695acb9,research,http://www.inaturalist.org/observations/526854,https://inaturalist-open-data.s3.amazonaws.com/photos/670436/medium.jpg,"near chicken run/kitchen, caught 10 day old bantam chick",Olive Whip Snake,Psammophis mossambicus,Olive Whip Snake,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Psammophiidae,,,,,Psammophis,,Psammophis mossambicus,,,,,eater,https://www.inaturalist.org/observations/66465985,
608490,8a3c487c-80f8-464e-88f7-306f848cfc75,research,http://www.inaturalist.org/observations/608490,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,"",Philematium virens,Philematium virens,,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Cerambycinae,,Callichromatini,,Philematium,,Philematium virens,,,,,eater,https://www.inaturalist.org/observations/66465198,
613295,27e91f4f-b75f-46b8-b719-08b249347534,research,http://www.inaturalist.org/observations/613295,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,"",Pedinorrhina trivittata,Pedinorrhina trivittata,Yellowheart Fruit Chafer,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Cetoniinae,,Goliathini,Coryphocerina,Pedinorrhina,,Pedinorrhina trivittata,,,,,eater,https://www.inaturalist.org/observations/66465198,
