observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids,id,p_id
414645,No,414707,No,Yes,340433312.0,414645_414707,414707_414645
414707,No,414645,No,Yes,340394115.0,414707_414645,414645_414707
465679,No,66466718,No,Yes,340261882.0,465679_66466718,66466718_465679
509046,No,66466454,No,Yes,340178684.0,509046_66466454,66466454_509046
518909,Yes,66466205,No,Yes,340032293.0,518909_66466205,66466205_518909
526854,No,66465985,No,Yes,339988554.0,526854_66465985,66465985_526854
608490,Yes,66465198,No,Yes,339965719.0,608490_66465198,66465198_608490
613295,No,66465198,No,Yes,338955864.0,613295_66465198,66465198_613295
613368,Yes,66464630,No,Yes,338572816.0,613368_66464630,66464630_613368
613370,Yes,66464171,No,Yes,338572814.0,613370_66464171,66464171_613370
673967,Yes,103137514,Yes,Yes,338262521.0,673967_103137514,103137514_673967
746116,Yes,66463516,No,Yes,338041950.0,746116_66463516,66463516_746116
785661,Yes,66462946,No,Yes,337302179.0,785661_66462946,66462946_785661
855273,Yes,66517113,No,Yes,337302175.0,855273_66517113,66517113_855273
855273,Yes,67665745,No,Yes,337302172.0,855273_67665745,67665745_855273
855282,Yes,66458766,No,Yes,337302171.0,855282_66458766,66458766_855282
859795,No,66462095,No,Yes,337302170.0,859795_66462095,66462095_859795
890705,Yes,66458394,No,Yes,337285510.0,890705_66458394,66458394_890705
893936,Yes,894002,No,Yes,337063055.0,893936_894002,894002_893936
894002,No,893936,Yes,Yes,337060870.0,894002_893936,893936_894002
1031674,Yes,1031679,No,Yes,336269939.0,1031674_1031679,1031679_1031674
1031679,No,1031674,Yes,Yes,336128756.0,1031679_1031674,1031674_1031679
1031728,Yes,1031726,No,Yes,335712937.0,1031728_1031726,1031726_1031728
1059442,Yes,1059454,Yes,Yes,335611213.0,1059442_1059454,1059454_1059442
1059454,Yes,1059442,Yes,Yes,334569592.0,1059454_1059442,1059442_1059454
1068273,No,66419503,Yes,Yes,334489227.0,1068273_66419503,66419503_1068273
1068300,Yes,66419503,Yes,Yes,334290701.0,1068300_66419503,66419503_1068300
1068463,Yes,11065591,No,Yes,333946575.0,1068463_11065591,11065591_1068463
1120591,Yes,74724598,No,Yes,333889171.0,1120591_74724598,74724598_1120591
1133892,Yes,74724395,No,Yes,333880750.0,1133892_74724395,74724395_1133892
1135272,Yes,66419028,No,Yes,333823041.0,1135272_66419028,66419028_1135272
1214196,Yes,66419742,No,Yes,333740956.0,1214196_66419742,66419742_1214196
1480375,Yes,66416214,No,Yes,333588688.0,1480375_66416214,66416214_1480375
1480419,Yes,66416266,No,Yes,333554034.0,1480419_66416266,66416266_1480419
1541560,No,66413452,Yes,Yes,333059160.0,1541560_66413452,66413452_1541560
1541573,Yes,28163775,No,Yes,333012372.0,1541573_28163775,28163775_1541573
1560560,Yes,73591486,No,Yes,332890716.0,1560560_73591486,73591486_1560560
1560782,Yes,40576956,No,Yes,332787693.0,1560782_40576956,40576956_1560782
1564429,Yes,66413110,No,Yes,332380782.0,1564429_66413110,66413110_1564429
2425593,Yes,2425738,Yes,Yes,331849813.0,2425593_2425738,2425738_2425593
2425738,Yes,66412290,No,Yes,331383823.0,2425738_66412290,66412290_2425738
2468967,Yes,28545358,Yes,Yes,328932055.0,2468967_28545358,28545358_2468967
3013721,No,10960412,Yes,Yes,326214114.0,3013721_10960412,10960412_3013721
3174469,Yes,66411306,No,Yes,325507092.0,3174469_66411306,66411306_3174469
3316348,Yes,20827247,No,Yes,323795569.0,3316348_20827247,20827247_3316348
3661794,Yes,66410231,No,Yes,323795549.0,3661794_66410231,66410231_3661794
4150874,Yes,13177701,No,Yes,323795516.0,4150874_13177701,13177701_4150874
4198630,Yes,66409844,No,Yes,323795511.0,4198630_66409844,66409844_4198630
4198647,Yes,66409844,No,Yes,323795509.0,4198647_66409844,66409844_4198647
4311650,Yes,19585966,No,Yes,323666972.0,4311650_19585966,19585966_4311650
4439691,Yes,66409288,No,Yes,323666966.0,4439691_66409288,66409288_4439691
4529334,Yes,67336811,No,Yes,323666948.0,4529334_67336811,67336811_4529334
4616510,No,66409288,No,Yes,323604224.0,4616510_66409288,66409288_4616510
4683091,No,11251463,No,Yes,323602040.0,4683091_11251463,11251463_4683091
4706757,Yes,4706758,Yes,Yes,323492700.0,4706757_4706758,4706758_4706757
4706758,Yes,4706757,Yes,Yes,323392636.0,4706758_4706757,4706757_4706758
4826551,No,66408456,No,Yes,322973942.0,4826551_66408456,66408456_4826551
4977020,Yes,4977021,Yes,Yes,322488107.0,4977020_4977021,4977021_4977020
4977021,Yes,4977020,Yes,Yes,322342886.0,4977021_4977020,4977020_4977021
5020575,Yes,5020579,Yes,Yes,322297428.0,5020575_5020579,5020579_5020575
5020579,Yes,5020575,Yes,Yes,321769363.0,5020579_5020575,5020575_5020579
5064766,Yes,5064767,No,Yes,321768680.0,5064766_5064767,5064767_5064766
5064767,No,5064766,Yes,Yes,321576569.0,5064767_5064766,5064766_5064767
5128044,No,5128057,No,Yes,321297527.0,5128044_5128057,5128057_5128044
6048862,Yes,6048799,No,Yes,319269043.0,6048862_6048799,6048799_6048862
6181749,Yes,6181752,No,Yes,318881382.0,6181749_6181752,6181752_6181749
6547777,Yes,6547967,No,Yes,318344323.0,6547777_6547967,6547967_6547777
6547967,No,6547777,Yes,Yes,318344322.0,6547967_6547777,6547777_6547967
6653565,No,66374547,Yes,Yes,318344316.0,6653565_66374547,66374547_6653565
6654045,Yes,66368233,No,Yes,318344312.0,6654045_66368233,66368233_6654045
6925315,Yes,346264485,No,Yes,316752723.0,6925315_346264485,346264485_6925315
6970258,No,6970344,Yes,Yes,316451558.0,6970258_6970344,6970344_6970258
6970344,Yes,6970258,No,Yes,316417494.0,6970344_6970258,6970258_6970344
7080377,No,340988877,No,Yes,315279908.0,7080377_340988877,340988877_7080377
7118034,Yes,145217567,Yes,Yes,314966052.0,7118034_145217567,145217567_7118034
7267929,Yes,7267930,Yes,Yes,314965610.0,7267929_7267930,7267930_7267929
7267930,Yes,7267929,Yes,Yes,314956568.0,7267930_7267929,7267929_7267930
7273981,Yes,188690574,Yes,Yes,314956565.0,7273981_188690574,188690574_7273981
7945436,Yes,7945437,No,Yes,314579796.0,7945436_7945437,7945437_7945436
8141947,Yes,28851083,Yes,Yes,314361271.0,8141947_28851083,28851083_8141947
8387435,Yes,131337492,No,Yes,314301516.0,8387435_131337492,131337492_8387435
8555135,Yes,31535775,No,Yes,311607120.0,8555135_31535775,31535775_8555135
8555161,Yes,31535775,No,Yes,311236147.0,8555161_31535775,31535775_8555161
8555175,Yes,31535775,No,Yes,311196144.0,8555175_31535775,31535775_8555175
8691364,No,8691352,No,Yes,310449567.0,8691364_8691352,8691352_8691364
8836272,No,8836294,Yes,Yes,309657550.0,8836272_8836294,8836294_8836272
8836272,No,8836285,Yes,Yes,309434042.0,8836272_8836285,8836285_8836272
8836285,Yes,8836272,No,Yes,309325275.0,8836285_8836272,8836272_8836285
8836294,Yes,8836272,No,Yes,309065803.0,8836294_8836272,8836272_8836294
