id,url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,"field:url for ""partner"" observation",partner_ids
10686,http://www.inaturalist.org/observations/10686,House Mouse,Mus musculus,House Mouse,Mammalia,44705.0,https://www.inaturalist.org/observations/1766953,['1766953']
414645,http://www.inaturalist.org/observations/414645,Cape Wolf Snake,Lycophidion capense,Cape Wolf Snake,Reptilia,29508.0,https://www.inaturalist.org/observations/414707,['414707']
414707,http://www.inaturalist.org/observations/414707,Sundevall's Writhing Skink,Mochlus sundevallii,Sundevall's Writhing Skink,Reptilia,37932.0,https://www.inaturalist.org/observations/414645,['414645']
465679,http://www.inaturalist.org/observations/465679,Cape Clawless Otter,Lutra capensis capensis,Cape Clawless Otter,Mammalia,1638850.0,https://www.inaturalist.org/observations/66466718,['66466718']
509046,http://www.inaturalist.org/observations/509046,Black Mamba,Dendroaspis polylepis,Black Mamba,Reptilia,30405.0,https://www.inaturalist.org/observations/66466454,['66466454']
518909,http://www.inaturalist.org/observations/518909,Namaqua Chameleon,Chamaeleo namaquensis,Namaqua Chameleon,Reptilia,32830.0,https://www.inaturalist.org/observations/66466205,['66466205']
526854,http://www.inaturalist.org/observations/526854,Olive Whip Snake,Psammophis mossambicus,Olive Whip Snake,Reptilia,56629.0,https://www.inaturalist.org/observations/66465985,['66465985']
608490,http://www.inaturalist.org/observations/608490,Philematium virens,Philematium virens,,Insecta,349081.0,https://www.inaturalist.org/observations/66465198,['66465198']
613295,http://www.inaturalist.org/observations/613295,Pedinorrhina trivittata,Pedinorrhina trivittata,Yellowheart Fruit Chafer,Insecta,349342.0,https://www.inaturalist.org/observations/66465198,['66465198']
613368,http://www.inaturalist.org/observations/613368,Green-banded Swallowtail,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,203122.0,https://www.inaturalist.org/observations/66464630,['66464630']
613370,http://www.inaturalist.org/observations/613370,Green-banded Swallowtail,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,203122.0,https://www.inaturalist.org/observations/66464171,['66464171']
673967,http://www.inaturalist.org/observations/673967,Elytraria acaulis,Elytraria acaulis,,Plantae,355845.0,https://www.inaturalist.org/observations/103137514,['103137514']
746116,http://www.inaturalist.org/observations/746116,Southern Red-billed Hornbill,Tockus rufirostris,Southern Red-billed Hornbill,Aves,144663.0,https://www.inaturalist.org/observations/66463516,['66463516']
768014,http://www.inaturalist.org/observations/768014,Tsetse flies,Glossina,Tsetse flies,Insecta,67370.0,https://www.inaturalist.org/observations/66463381,['66463381']
768088,http://www.inaturalist.org/observations/768088,Palparini,Palparini,Giant Antlions,Insecta,713292.0,https://www.inaturalist.org/observations/66463116,['66463116']
785661,http://www.inaturalist.org/observations/785661,Brown Hyllus Jumping Spider,Hyllus brevitarsis,Brown Hyllus Jumping Spider,Arachnida,465922.0,https://www.inaturalist.org/observations/66462946,['66462946']
855273,http://www.inaturalist.org/observations/855273,Sooty Blue,Zizeeria knysna,African Grass Blue,Insecta,319796.0,https://www.inaturalist.org/observations/66517113; https://www.inaturalist.org/observations/67665745,"['66517113', '67665745']"
855282,http://www.inaturalist.org/observations/855282,Stenodacma wahlbergi,Stenodacma wahlbergi,,Insecta,319629.0,https://www.inaturalist.org/observations/66458766,['66458766']
