observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids
10686,No,1766953,No,No,341194952
414645,No,414707,No,Yes,340433312
414707,No,414645,No,Yes,340394115
465679,No,66466718,No,Yes,340261882
509046,No,66466454,No,Yes,340178684
518909,Yes,66466205,No,Yes,340032293
526854,No,66465985,No,Yes,339988554
608490,Yes,66465198,No,Yes,339965719
613295,No,66465198,No,Yes,338955864
613368,Yes,66464630,No,Yes,338572816
613370,Yes,66464171,No,Yes,338572814
673967,Yes,103137514,Yes,Yes,338262521
746116,Yes,66463516,No,Yes,338041950
768014,No,66463381,No,No,337589064
768088,No,66463116,No,No,337535694
785661,Yes,66462946,No,Yes,337302179
855273,Yes,66517113,No,Yes,337302175
855273,Yes,67665745,No,Yes,337302172
855282,Yes,66458766,No,Yes,337302171
859795,No,66462095,No,Yes,337302170
859818,No,66462095,No,No,337302168
890705,Yes,66458394,No,Yes,337285510
890716,No,66458238,No,No,337114587
893936,Yes,894002,No,Yes,337063055
894002,No,893936,Yes,Yes,337060870
913990,No,66420608,No,No,336590992
913998,No,66420608,No,No,336522878
1031674,Yes,1031679,No,Yes,336269939
1031679,No,1031674,Yes,Yes,336128756
1031728,Yes,1031726,No,Yes,335712937
1055931,No,66420288,No,No,335611421
1059442,Yes,1059454,Yes,Yes,335611213
1059454,Yes,1059442,Yes,Yes,334569592
1068273,No,66419503,Yes,Yes,334489227
1068300,Yes,66419503,Yes,Yes,334290701
1068463,Yes,11065591,No,Yes,333946575
1120591,Yes,74724598,No,Yes,333889171
1126540,No,22363205,No,No,333889030
1133892,Yes,74724395,No,Yes,333880750
1133932,No,11084042,No,No,333832708
1135272,Yes,66419028,No,Yes,333823041
1214196,Yes,66419742,No,Yes,333740956
1361255,No,74716276,No,No,333707468
1480375,Yes,66416214,No,Yes,333588688
1480419,Yes,66416266,No,Yes,333554034
1495497,No,66517113,No,No,333534633
1495497,No,67665745,No,No,333500776
1515651,No,66415616,No,No,333115231
1541560,No,66413452,Yes,Yes,333059160
1541573,Yes,28163775,No,Yes,333012372
1542113,No,66413287,No,No,332890719
1560560,Yes,73591486,No,Yes,332890716
1560782,Yes,40576956,No,Yes,332787693
1564429,Yes,66413110,No,Yes,332380782
1766953,No,10686,No,No,331944746
1850681,No,66412888,No,No,331917127
2379770,No,28163598,No,No,331903104
2425593,Yes,2425738,Yes,Yes,331849813
2425738,Yes,66412290,No,Yes,331383823
2455375,No,66365196,No,No,330315874
2468959,No,28545358,Yes,No,329649237
2468967,Yes,28545358,Yes,Yes,328932055
2498470,No,91934044,No,No,328206641
2656722,No,2656724,No,No,328200437
2656724,No,2656722,No,No,328200434
2660716,No,244948769,No,No,326367157
2700865,No,2700869,No,No,326367154
2700869,No,2700865,No,No,326367144
3013721,No,10960412,Yes,Yes,326214114
3174469,Yes,66411306,No,Yes,325507092
3295191,No,3295226,No,No,323951991
3295226,No,3295191,No,No,323795572
3316348,Yes,20827247,No,Yes,323795569
3331285,No,66410426,No,No,323795567
3572546,No,243148026,No,No,323795566
3661794,Yes,66410231,No,Yes,323795549
3891537,No,66410007,No,No,323795542
4013888,No,243145704,No,No,323795528
4150874,Yes,13177701,No,Yes,323795516
4198630,Yes,66409844,No,Yes,323795511
4198647,Yes,66409844,No,Yes,323795509
4207150,No,243149232,No,No,323666998
4311650,Yes,19585966,No,Yes,323666972
4439648,No,66409288,No,No,323666971
4439691,Yes,66409288,No,Yes,323666966
4529334,Yes,67336811,No,Yes,323666948
4616510,No,66409288,No,Yes,323604224
4683091,No,11251463,No,Yes,323602040
4706757,Yes,4706758,Yes,Yes,323492700
