observation_id,photo_id,license_code,square_url,medium_url,large_url,original_url,scientific_name,common_name,taxon_rank,ob_license_code,quality_grade,uri,pred_prey,special_type_of_feeding,taxon_kingdom,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species
340304697,619256274,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619256274/original.jpg,Haemopis grandis,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/340304697,Pred,Predation,Animalia,Annelida,Clitellata,Arhynchobdellida,Haemopidae,Haemopis,Haemopis grandis
130480768,70327211,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/original.jpeg,Hirudo michaelseni,Common African Leech,species,cc-by,research,https://www.inaturalist.org/observations/130480768,Pred,Parasitism,Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,Hirudo michaelseni
108694744,183053796,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/183053796/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/183053796/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/183053796/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/183053796/original.jpeg,Urechis caupo,Fat Innkeeper Worm,species,cc-by-nc,research,https://www.inaturalist.org/observations/108694744,Prey,Predation,Animalia,Annelida,Polychaeta,Echiuroidea,Urechidae,Urechis,Urechis caupo
64497720,103704678,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/original.jpg,Alitta williami,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/64497720,Prey,Predation,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta williami
341067936,620805844,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/original.jpg,Apis mellifera,Western Honey Bee,species,cc-by-nc,research,https://www.inaturalist.org/observations/341067936,Pred,Pollination,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
340848746,620355031,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/original.jpg,Tetraleurodes perileuca,Stanford's Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848746,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Tetraleurodes,Tetraleurodes perileuca
340848514,620354575,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/original.jpg,Paraleyrodes minei,Nesting Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848514,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Paraleyrodes,Paraleyrodes minei
340848497,620354560,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/original.jpg,Aleuroplatus coronata,Crown Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848497,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Aleuroplatus,Aleuroplatus coronata
340722576,620095839,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/620095839/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620095839/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620095839/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620095839/original.jpg,Omphalocera munroei,Pawpaw Webworm Moth,species,cc-by-nc,research,https://www.inaturalist.org/observations/340722576,Pred,Predation,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Omphalocera,Omphalocera munroei
340368188,619383348,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619383348/original.jpg,Diplolepis rosae,Mossy Rose Gall Wasp,species,cc-by,research,https://www.inaturalist.org/observations/340368188,Pred,Parasitism,Animalia,Arthropoda,Insecta,Hymenoptera,Diplolepididae,Diplolepis,Diplolepis rosae
340364592,619375042,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619375042/original.jpg,Aquarius najas,River Skater,species,cc-by-nc,research,https://www.inaturalist.org/observations/340364592,Pred,Predation,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,Aquarius najas
