observation_id,photo_id,Image_name,GroundingDino_V.1_Detected?,V.1 Analysis,GroundingDino_V.2_Detected?,V.2 Analysis,license_code,sam2+bioclip classification v.3,v3. Analysis,crop+bioclip classification v.4,v.4 Analysis,square_url,medium_url,large_url,original_url,scientific_name,common_name,taxon_rank,ob_license_code,quality_grade,uri,pred_prey,special_type_of_feeding,taxon_kingdom,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species
102691691,171703626,obs_102691691_photo_171703626,Maybe,Tiny part of the box,Yes,Visible,cc-by-nc,TRUE,,TRUE,,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/original.jpeg,Egregia menziesii,Feather Boa Kelp,species,cc-by-nc,research,https://www.inaturalist.org/observations/102691691,Prey,Predation,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia menziesii
10317797,14298032,obs_10317797_photo_14298032,Maybe,Tiny part of the box,Yes,Visible,cc-by-nc,FALSE,Prey and predator both in the picture. Leather star was not recognized,FALSE,Species features not very clear,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/original.jpg,Dermasterias imbricata,Leather Star,species,cc-by-nc,research,https://www.inaturalist.org/observations/10317797,Prey,Predation,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata
130480768,70327211,obs_130480768_photo_70327211,Maybe,Tiny part of the box,Yes,Visible,cc-by,FALSE,,FALSE,Species is small part of the box; Species features not very clear,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/original.jpeg,Hirudo michaelseni,Common African Leech,species,cc-by,research,https://www.inaturalist.org/observations/130480768,Pred,Parasitism,Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,Hirudo,Hirudo michaelseni
188731534,330410184,obs_188731534_photo_330410184,Yes,Visible,Yes,Visible,cc0,TRUE,,TRUE,,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/original.jpg,Lonsdalea quercina,drippy acorn disease,species,cc-by,research,https://www.inaturalist.org/observations/188731534,Prey,Predation,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Pectobacteriaceae,Lonsdalea,Lonsdalea quercina
194599339,342107100,obs_194599339_photo_342107100,Yes,Visible,Yes,Visible,cc-by-nc-sa,FALSE,,FALSE,Misidentified as different species,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/original.jpeg,Obama nungara,Obama Flatworm,species,cc-by-nc-nd,research,https://www.inaturalist.org/observations/194599339,Pred,Predation,Animalia,Platyhelminthes,0,Tricladida,Geoplanidae,Obama,Obama nungara
194795499,341224314,obs_194795499_photo_341224314,Maybe,Tiny part of the box,Yes,Visible,cc-by-nc,TRUE,,TRUE,,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/square.png,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/large.png,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/original.png,Urticina columbiana,Sand Rose Anemone,species,cc-by-nc,research,https://www.inaturalist.org/observations/194795499,Pred,Predation,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,Urticina columbiana
195713651,344383957,obs_195713651_photo_344383957,Maybe,Tiny part of the box,Yes,Visible,cc-by-nc-sa,TRUE,,TRUE,,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/original.jpeg,Parakontikia ventrolineata,0,species,cc-by-nc-nd,research,https://www.inaturalist.org/observations/195713651,Pred,Predation,Animalia,Platyhelminthes,0,Tricladida,Geoplanidae,Parakontikia,Parakontikia ventrolineata
220102252,389649357,obs_220102252_photo_389649357,Maybe,Tiny part of the box,Maybe,Tiny part of the box,cc-by,FALSE,,FALSE,Species is small part of the box. Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/original.jpeg,Furia ithacensis,0,species,cc0,research,https://www.inaturalist.org/observations/220102252,Pred,Parasitism,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Entomophthoraceae,Furia,Furia ithacensis
220822650,391000325,obs_220822650_photo_391000325,Yes,Visible,Yes,Visible,cc-by-nc,FALSE,,FALSE,Species features not very clear,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/original.jpeg,Cucumaria miniata,Orange Sea Cucumber,species,cc-by-nc,research,https://www.inaturalist.org/observations/220822650,Prey,Predation,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria miniata
250956763,448935283,obs_250956763_photo_448935283,Maybe,Tiny part of the box,Maybe,Tiny part of the box,cc-by-nc-nd,FALSE,,FALSE,Species is small part of the box,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/original.jpg,Prostheceraeus crozieri,Tiger Flatworm,species,cc-by-nc-sa,research,https://www.inaturalist.org/observations/250956763,Pred,Predation,Animalia,Platyhelminthes,0,Polycladida,Euryleptidae,Prostheceraeus,Prostheceraeus crozieri
256022699,458927175,obs_256022699_photo_458927175,Maybe,Tiny part of the box,Maybe,Tiny part of the box,cc-by-nc,FALSE,,FALSE,Species is small part of the box. Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/original.jpeg,Arthrophaga myriapodina,0,species,cc-by-nc,research,https://www.inaturalist.org/observations/256022699,Pred,Parasitism,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Entomophthoraceae,Arthrophaga,Arthrophaga myriapodina
258568965,463949088,obs_258568965_photo_463949088,Maybe,Tiny part of the box,Yes,Visible,cc-by-nc,FALSE,,FALSE,Species is small part of the box. Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/original.jpg,Reticularia,0,genus,cc-by-nc,research,https://www.inaturalist.org/observations/258568965,Prey,Predation,Protozoa,Mycetozoa,Myxomycetes,Reticulariales,Reticulariaceae,Reticularia,0
263836670,474047112,obs_263836670_photo_474047112,Maybe,Tiny part of the box,Yes,Visible,cc-by-nc,FALSE,,TRUE,Missing entry,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/original.jpeg,Pisaster ochraceus,Ochre Sea Star,species,cc-by-nc,research,https://www.inaturalist.org/observations/263836670,Prey,Predation,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus
264953671,475827468,obs_264953671_photo_475827468,Yes,Visible,Yes,Visible,cc-by,FALSE,,FALSE,Same taxon genus but wrong species level,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/original.jpeg,Peripatopsis orientalis,Eastern Forest velvet worm,species,cc-by,research,https://www.inaturalist.org/observations/264953671,Pred,Predation,Animalia,Onychophora,0,0,Peripatopsidae,Peripatopsis,Peripatopsis orientalis
