observation_id,uri,quality_grade,license_code,taxon_id,taxon_name,taxon_rank,taxon_preferred_common_name,ofv_id_meant_field_id,ofv_id_meant_value,ofv_special_feeding_field_id,ofv_special_feeding_value,photo_urls_medium,photo_count,location,positional_accuracy,place_country_name,place_state_name,place_county_name,place_town_name,kingdom_id,kingdom_name,phylum_id,phylum_name,class_id,class_name,order_id,order_name,family_id,family_name,genus_id,genus_name,species_id,species_name
341194952,https://www.inaturalist.org/observations/341194952,research,cc-by,144455,Ardea alba,species,Great Egret,12795.0,eater,16376.0,"No, none of these",https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/621071168/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/621071177/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/621071190/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/621071213/medium.jpg,5,"37.6766383333,-121.9119633333",8.0,,,,,1,Animalia,2,Chordata,3.0,Aves,67566.0,Pelecaniformes,4929.0,Ardeidae,4950.0,Ardea,144455.0,Ardea alba
341067936,https://www.inaturalist.org/observations/341067936,research,cc-by-nc,47219,Apis mellifera,species,Western Honey Bee,12795.0,eater,16376.0,Pollination,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620805858/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620805991/medium.jpg,3,"37.33304,-122.111704",26.0,,,,,1,Animalia,47120,Arthropoda,47158.0,Insecta,47201.0,Hymenoptera,47221.0,Apidae,47220.0,Apis,47219.0,Apis mellifera
341060278,https://www.inaturalist.org/observations/341060278,research,cc-by-nc,564969,Chamaenerion angustifolium,species,fireweed,12795.0,organism being eaten,16376.0,Pollination,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/547585422/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/547585471/medium.jpg,3,"60.7848133333,-161.7954116667",4.0,,,,,47126,Plantae,211194,Tracheophyta,47124.0,Magnoliopsida,47791.0,Myrtales,47790.0,Onagraceae,564913.0,Chamaenerion,564969.0,Chamaenerion angustifolium
341060248,https://www.inaturalist.org/observations/341060248,research,cc-by-nc,564969,Chamaenerion angustifolium,species,fireweed,12795.0,organism being eaten,16376.0,Pollination,https://inaturalist-open-data.s3.amazonaws.com/photos/547586114/medium.jpg,1,"60.7847883333,-161.7955633333",3.0,,,,,47126,Plantae,211194,Tracheophyta,47124.0,Magnoliopsida,47791.0,Myrtales,47790.0,Onagraceae,564913.0,Chamaenerion,564969.0,Chamaenerion angustifolium
341011035,https://www.inaturalist.org/observations/341011035,research,cc-by-nc,128630,Asimina reticulata,species,netted pawpaw,12795.0,organism being eaten,16376.0,Parasitism,https://inaturalist-open-data.s3.amazonaws.com/photos/620687628/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620687643/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620687668/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620687694/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620688018/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620688038/medium.jpg,6,"27.483267,-82.1691519722",,,,,,47126,Plantae,211194,Tracheophyta,47124.0,Magnoliopsida,50898.0,Magnoliales,50899.0,Annonaceae,50900.0,Asimina,128630.0,Asimina reticulata
340891948,https://www.inaturalist.org/observations/340891948,research,cc-by-nc,201784,Ammodytes personatus,species,Pacific Sand Lance,12795.0,organism being eaten,16376.0,"No, none of these",https://inaturalist-open-data.s3.amazonaws.com/photos/620443274/medium.jpg,1,"48.3222184056,-122.8451749885",31.0,,,,,1,Animalia,2,Chordata,47178.0,Actinopterygii,1555654.0,Labriformes,85574.0,Ammodytidae,86396.0,Ammodytes,201784.0,Ammodytes personatus
340848746,https://www.inaturalist.org/observations/340848746,research,cc-by,493764,Tetraleurodes perileuca,species,Stanford's Whitefly,12795.0,eater,16376.0,Parasitism,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,1,"37.3987866667,-122.0961",7.0,,,,,1,Animalia,47120,Arthropoda,47158.0,Insecta,47744.0,Hemiptera,154784.0,Aleyrodidae,493761.0,Tetraleurodes,493764.0,Tetraleurodes perileuca
340848514,https://www.inaturalist.org/observations/340848514,research,cc-by,508810,Paraleyrodes minei,species,Nesting Whitefly,12795.0,eater,16376.0,Parasitism,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620354582/medium.jpg,2,"37.3987966667,-122.0960916667",11.0,,,,,1,Animalia,47120,Arthropoda,47158.0,Insecta,47744.0,Hemiptera,154784.0,Aleyrodidae,494078.0,Paraleyrodes,508810.0,Paraleyrodes minei
340848497,https://www.inaturalist.org/observations/340848497,research,cc-by,417217,Aleuroplatus coronata,species,Crown Whitefly,12795.0,eater,16376.0,Parasitism,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,1,"37.3987783333,-122.0960833333",13.0,,,,,1,Animalia,47120,Arthropoda,47158.0,Insecta,47744.0,Hemiptera,154784.0,Aleyrodidae,417216.0,Aleuroplatus,417217.0,Aleuroplatus coronata
340825934,https://www.inaturalist.org/observations/340825934,research,cc-by,1979,Guira guira,species,Guira Cuckoo,12795.0,eater,16376.0,"No, none of these",https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg|https://inaturalist-open-data.s3.amazonaws.com/photos/620308839/medium.jpg,2,"-35.0148713074,-58.4202644974",6.0,,,,,1,Animalia,2,Chordata,3.0,Aves,1623.0,Cuculiformes,1627.0,Cuculidae,1978.0,Guira,1979.0,Guira guira
