image,rank,score,group,label,x0,y0,x1,y1
image_0.jpg,1,0.580021083,arachnids,scorpion,42.05331039,114.1496277,499.76828,328.443573
image_0.jpg,2,0.428434372,other_inverts,slug octopus squid,42.78352737,159.3098907,461.6011047,211.0154572
image_0.jpg,3,0.407062143,arachnids,mite,42.37724686,158.3793335,462.2799072,212.076004
image_0.jpg,4,0.405976802,other_inverts,slug mussel octopus squid,43.23382568,115.152153,500.1438904,327.4893188
image_1.JPG,1,0.613912225,arachnids,scorpion,185.9591827,93.93334961,438.5218811,245.1535034
image_1.JPG,2,0.442437649,other_inverts,slug octopus squid,186.5584106,94.24092102,437.8312378,243.9429169
image_1.JPG,3,0.421513319,arachnids,spider,137.4927826,133.7378235,177.0536041,155.1735992
image_1.JPG,4,0.383000404,other_inverts,snail mussel worm,138.0041351,134.736145,175.8946686,152.8471222
image_2.jpg,1,0.561591089,arachnids,scorpion,71.15097046,104.2154236,395.0858765,280.3396912
image_2.jpg,2,0.414370447,plants_fungi,mushroom,71.75356293,106.1342163,390.504303,276.7073364
image_2.jpg,3,0.391946793,other_inverts,snail slug octopus,71.85578156,105.9414215,390.8989258,279.0815735
image_2.jpg,4,0.335360289,insects,butterfly moth beetle bee wasp grasshopper damselfly,72.92127991,103.2139664,395.3678284,279.5096436
image_3.jpg,1,0.396112025,other_inverts,slug octopus squid,76.81876373,58.09749985,465.9407654,277.0007935
image_3.jpg,2,0.38185811,arachnids,spider scorpion tick mite,76.20697021,57.26583862,466.3100281,274.9524231
image_3.jpg,3,0.325223535,vertebrates,animal mammal reptile lizard turtle frog toad salamander,35.50815582,112.0778809,184.9240265,212.0588837
image_3.jpg,4,0.320600331,other_inverts,snail slug octopus squid,36.75032425,112.127449,184.7164917,215.2437439
image_4.JPG,1,0.482378691,arachnids,scorpion,63.17734146,117.6066742,190.9704742,242.2386932
image_4.JPG,2,0.46697399,plants_fungi,fungus mushroom,263.5041199,149.619873,475.502533,315.0085754
image_4.JPG,3,0.445180923,other_inverts,snail slug octopus,63.73156738,118.3864975,190.0365753,240.6396484
image_4.JPG,4,0.42896843,arachnids,tick,63.12499237,117.8494492,190.8948669,241.9366608
image_5.jpg,1,0.716637433,arachnids,scorpion,74.69084167,45.5993576,247.1876984,317.1301575
image_5.jpg,2,0.607379377,other_inverts,slug octopus,76.63752747,49.59204865,231.3850861,316.78302
image_5.jpg,3,0.595151186,arachnids,spider tick,210.3421936,42.84620285,252.4411926,83.537117
image_5.jpg,4,0.390659004,other_inverts,snail slug mussel squid worm,210.8661346,43.27755737,252.0402069,82.97473145
image_6.jpg,1,0.440963715,arachnids,spider scorpion tick,200.8877716,113.5592194,356.7446289,234.7056732
image_6.jpg,2,0.413265556,plants_fungi,tree,0.0194069,0.369328111,58.12442398,240.5250092
image_6.jpg,3,0.413097709,other_inverts,snail slug octopus worm,300.2886658,114.9969559,354.6506042,185.4234772
image_6.jpg,4,0.376700699,other_inverts,##am mussel,0.093631446,0.412359327,138.0200958,240.733963
image_7.jpg,1,0.529978096,arachnids,scorpion,76.3163681,33.57793808,427.9194336,383.6875305
image_7.jpg,2,0.485414714,arachnids,tick mite,204.0928192,171.6430817,427.6944885,350.5876465
image_7.jpg,3,0.368531674,other_inverts,slug octopus squid,76.79808044,33.6450119,428.4676208,383.4729004
image_7.jpg,4,0.365232259,plants_fungi,grass algae,0.308305025,0.355186731,499.6815491,420.1813049
image_8.jpg,1,0.465479553,arachnids,spider scorpion,280.940094,128.9572754,478.4910278,320.9359436
image_8.jpg,2,0.452651739,plants_fungi,plant tree grass,0.654816628,0.772744417,497.1828308,374.3059692
image_8.jpg,3,0.392053097,plants_fungi,fungus mushroom,282.3543091,130.8827972,476.8401489,319.9285583
image_8.jpg,4,0.377539992,other_inverts,snail slug octopus,281.5037842,130.3527985,477.9563599,320.479187
image_9.jpg,1,0.508765638,arachnids,spider scorpion,40.2994957,96.83277893,311.870636,380.2335205
image_9.jpg,2,0.405916542,other_inverts,snail slug octopus squid,40.73061752,97.06448364,311.2815247,379.9572144
image_9.jpg,3,0.330958962,vertebrates,animal mammal lizard turtle frog toadder,40.61553955,96.62573242,311.3522644,379.6032715
image_9.jpg,4,0.281772047,plants_fungi,mushroom,47.68259048,283.8430481,180.3128815,379.2930298
