observation_id,photo_id,license_code,square_url,medium_url,large_url,original_url,scientific_name,common_name,taxon_rank,ob_license_code,quality_grade,uri,pred_prey,special_type_of_feeding,taxon_kingdom,taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,image_key,grounding_dino_prompt
341194952,621071156,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/621071156/original.jpg,Ardea alba,Great Egret,species,cc-by,research,https://www.inaturalist.org/observations/341194952,eater,"No, none of these",Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea alba,obs_341194952_photo_621071156,white bird with long legs.
341067936,620805844,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620805844/original.jpg,Apis mellifera,Western Honey Bee,species,cc-by-nc,research,https://www.inaturalist.org/observations/341067936,eater,Pollination,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,obs_341067936_photo_620805844,yellow and black striped insect with six legs.
341060278,547585371,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/547585371/original.jpg,Chamaenerion angustifolium,fireweed,species,cc-by-nc,research,https://www.inaturalist.org/observations/341060278,organism being eaten,Pollination,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium,obs_341060278_photo_547585371,purple flower with drooping petals.
340848746,620355031,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620355031/original.jpg,Tetraleurodes perileuca,Stanford's Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848746,eater,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Tetraleurodes,Tetraleurodes perileuca,obs_340848746_photo_620355031,small white insect with yellow markings.
340848514,620354575,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354575/original.jpg,Paraleyrodes minei,Nesting Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848514,eater,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Paraleyrodes,Paraleyrodes minei,obs_340848514_photo_620354575,small white insect with wings.
340848497,620354560,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620354560/original.jpg,Aleuroplatus coronata,Crown Whitefly,species,cc-by,research,https://www.inaturalist.org/observations/340848497,eater,Parasitism,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Aleuroplatus,Aleuroplatus coronata,obs_340848497_photo_620354560,small white insect with long antennae.
340825934,620308797,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/620308797/original.jpg,Guira guira,Guira Cuckoo,species,cc-by,research,https://www.inaturalist.org/observations/340825934,eater,"No, none of these",Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,obs_340825934_photo_620308797,black bird with long tail and white stripes.
340542613,619737737,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619737737/original.jpg,Astur cooperii,Cooper's Hawk,species,cc-by-nc,research,https://www.inaturalist.org/observations/340542613,eater,"No, none of these",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,Astur cooperii,obs_340542613_photo_619737737,medium-sized bird of prey with brown back and white underside.
340514310,619679014,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619679014/original.jpg,Sciurus carolinensis,Eastern Gray Squirrel,species,cc-by-nc,research,https://www.inaturalist.org/observations/340514310,organism being eaten,"No, none of these",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,obs_340514310_photo_619679014,gray squirrel with bushy tail.
340514309,619678757,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619678757/original.jpg,Buteo jamaicensis,Red-tailed Hawk,species,cc-by-nc,research,https://www.inaturalist.org/observations/340514309,eater,"No, none of these",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,obs_340514309_photo_619678757,brown bird with broad wings and long tail.
