Image_name,masked_crop_path,species,User_classified?,Same?
obs_102691691_photo_171703626,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_102691691_photo_171703626_5__crop.png,Egregia menziesii,Egregia menziesii,TRUE
obs_188731534_photo_330410184,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_188731534_photo_330410184_12__crop.png,Lonsdalea quercina,Lonsdalea quercina,TRUE
obs_194795499_photo_341224314,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_194795499_photo_341224314_21__crop.png,Urticina columbiana,Urticina columbiana,TRUE
obs_195713651_photo_344383957,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_195713651_photo_344383957_26__crop.png,Parakontikia ventrolineata,Parakontikia ventrolineata,TRUE
obs_291009479_photo_523542929,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_291009479_photo_523542929_53__crop.png,Macroperipatus torquatus,Macroperipatus torquatus,TRUE
obs_318533969_photo_575706140,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_318533969_photo_575706140_66__crop.png,Phylloporia amplectens,Phylloporia amplectens,TRUE
obs_319669394_photo_577875426,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_319669394_photo_577875426_72__crop.png,Coleosporium ipomoeae,Coleosporium ipomoeae,TRUE
obs_323944435_photo_586236533,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_323944435_photo_586236533_79__crop.png,Gymnosporangium juniperi-virginianae,Gymnosporangium juniperi-virginianae,TRUE
obs_326876805_photo_592092171,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_326876805_photo_592092171_89__crop.png,Rhytisma acerinum,Rhytisma acerinum,TRUE
obs_331831594_photo_602051260,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_331831594_photo_602051260_105__crop.png,Caulorhiza umbonata,Caulorhiza umbonata,TRUE
obs_332241462_photo_602909620,/gpfs_common/share03/ftrscape/snair3/wew_notebooks/outputs_sam/masked_crops/obs_332241462_photo_602909620_108__crop.png,Ariolimax buttoni,Ariolimax buttoni,TRUE
