species,kingdom,phylum,class,user_class,order,family,genus
Anolis sagrei,Animalia,Chordata,Squamata,Reptilia,,Dactyloidae,Anolis
Scincella lateralis,Animalia,Chordata,Squamata,Reptilia,,Scincidae,Scincella
Hemidactylus mabouia,Animalia,Chordata,Squamata,Reptilia,,Gekkonidae,Hemidactylus
Chondrodactylus laevigatus,Animalia,Chordata,Squamata,Reptilia,,Gekkonidae,Chondrodactylus
Causus rhombeatus,Animalia,Chordata,Squamata,Reptilia,,Viperidae,Causus
Dipsas bicolor,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Dipsas
Alligator mississippiensis,Animalia,Chordata,Crocodylia,Reptilia,,Alligatoridae,Alligator
Zamenis longissimus,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Zamenis
Podarcis siculus,Animalia,Chordata,Squamata,Reptilia,,Lacertidae,Podarcis
Kinixys zombensis,Animalia,Chordata,Testudines,Reptilia,,Testudinidae,Kinixys
Vipera aspis,Animalia,Chordata,Squamata,Reptilia,,Viperidae,Vipera
Diadophis punctatus,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Diadophis
Pantherophis alleghaniensis,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Pantherophis
Galeocerdo cuvier,Animalia,Chordata,Elasmobranchii,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo
Masticophis lateralis,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Masticophis
Crotalus oreganus,Animalia,Chordata,Squamata,Reptilia,,Viperidae,Crotalus
Duberria variegata,Animalia,Chordata,Squamata,Reptilia,,Pseudoxyrhophiidae,Duberria
Pantherophis vulpinus,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Pantherophis
Hierophis viridiflavus,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Hierophis
Anguis veronensis,Animalia,Chordata,Squamata,Reptilia,,Anguidae,Anguis
Chelydra serpentina,Animalia,Chordata,Testudines,Reptilia,,Chelydridae,Chelydra
Phelsuma laticauda,Animalia,Chordata,Squamata,Reptilia,,Gekkonidae,Phelsuma
Thamnophis sirtalis,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Thamnophis
Lampropeltis californiae,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Lampropeltis
Thamnophis couchii,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Thamnophis
Pantherophis spiloides,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Pantherophis
Phrynosoma cornutum,Animalia,Chordata,Squamata,Reptilia,,Phrynosomatidae,Phrynosoma
Oligodon taeniatus,Animalia,Chordata,Squamata,Reptilia,,Colubridae,Oligodon
Ctenosaura pectinata,Animalia,Chordata,Squamata,Reptilia,,Iguanidae,Ctenosaura
