species,kingdom,phylum,class,order,user_family,family,genus
Anolis sagrei,Animalia,Chordata,Squamata,,Anolidae,Dactyloidae,Anolis
Cebidichthys violaceus,Animalia,Chordata,,Perciformes,Cebidichthyidae,Stichaeidae,Cebidichthys
Gyas titanus,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Sclerosomatidae,Gyas
Thesium asterias,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Thesiaceae,Thesium
Brachycerus labrusca,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachyceridae,Brachycerus
Trichonephila fenestrata,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Trichonephila
Campostoma oligolepis,Animalia,Chordata,,Cypriniformes,Leuciscidae,Cyprinidae,Campostoma
Galeocerdo cuvier,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Galeocerdonidae,Carcharhinidae,Galeocerdo
Psittacula alexandri,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacidae,Psittacula
Epinephelus marginatus,Animalia,Chordata,,Perciformes,Epinephelidae,Serranidae,Epinephelus
Polistes fuscatus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Polistes
Loriculus galgulus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacidae,Loriculus
Trichonephila clavata,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Trichonephila
Rutilus rutilus,Animalia,Chordata,,Cypriniformes,Leuciscidae,Cyprinidae,Rutilus
Trichonephila clavipes,Animalia,Arthropoda,Arachnida,Araneae,Nephilidae,Araneidae,Trichonephila
Berardius bairdii,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,Hyperoodontidae,Berardius
Tetracha virginica,Animalia,Arthropoda,Insecta,Coleoptera,Cicindelidae,Carabidae,Tetracha
Epinephelus labriformis,Animalia,Chordata,,Perciformes,Epinephelidae,Serranidae,Epinephelus
Psittacula krameri,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Psittacidae,Psittacula
Anolis carolinensis,Animalia,Chordata,Squamata,,Anolidae,Dactyloidae,Anolis
Polistes bellicosus,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Polistes
Enophrys bison,Animalia,Chordata,,Scorpaeniformes,Psychrolutidae,Cottidae,Enophrys
Prionops plumatus,Animalia,Chordata,Aves,Passeriformes,Vangidae,Prionopidae,Prionops
Polistes dominula,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Polistes
Taurulus bubalis,Animalia,Chordata,,Scorpaeniformes,Psychrolutidae,Cottidae,Taurulus
Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Ischnorhinidae,Cercopidae,Prosapia
Brevoortia tyrannus,Animalia,Chordata,,Clupeiformes,Alosidae,Clupeidae,Brevoortia
Hydrophyllum virginianum,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Hydrophyllaceae,Hydrophyllum
Cordylepherus viridis,Animalia,Arthropoda,Insecta,Coleoptera,Melyridae,Malachiidae,Cordylepherus
Lygistorrhina sanctaecatharinae,Animalia,Arthropoda,Insecta,Diptera,Lygistorrhinidae,Keroplatidae,Lygistorrhina
Rhynchium oculatum,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Rhynchium
Euodynerus pratensis,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Euodynerus
Polistes sagittarius,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Eumenidae,Polistes
Cephalaria leucantha,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacaceae,Cephalaria
