species,kingdom,phylum,class,user_order,order,family,genus
Aculus tetanothrix,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Trombidiformes,Eriophyidae,Aculus
Balaenoptera borealis,Animalia,Chordata,Mammalia,Artiodactyla,Cetacea,Balaenopteridae,Balaenoptera
Cynoscion nebulosus,Animalia,Chordata,,Acanthuriformes,Perciformes,Sciaenidae,Cynoscion
Coragyps atratus,Animalia,Chordata,Aves,Cathartiformes,Accipitriformes,Cathartidae,Coragyps
Archosargus probatocephalus,Animalia,Chordata,,Acanthuriformes,Perciformes,Sparidae,Archosargus
Hypsypops rubicundus,Animalia,Chordata,,Blenniiformes,Perciformes,Pomacentridae,Hypsypops
Gibbonsia elegans,Animalia,Chordata,,Blenniiformes,Perciformes,Clinidae,Gibbonsia
Parophrys vetulus,Animalia,Chordata,,Carangiformes,Pleuronectiformes,Pleuronectidae,Parophrys
Cathartes aura,Animalia,Chordata,Aves,Cathartiformes,Accipitriformes,Cathartidae,Cathartes
Lepomis macrochirus,Animalia,Chordata,,Centrarchiformes,Perciformes,Centrarchidae,Lepomis
Lepomis microlophus,Animalia,Chordata,,Centrarchiformes,Perciformes,Centrarchidae,Lepomis
Lagodon rhomboides,Animalia,Chordata,,Acanthuriformes,Perciformes,Sparidae,Lagodon
Menticirrhus littoralis,Animalia,Chordata,,Acanthuriformes,Perciformes,Sciaenidae,Menticirrhus
Lutjanus guttatus,Animalia,Chordata,,Acanthuriformes,Perciformes,Lutjanidae,Lutjanus
Esox lucius,Animalia,Chordata,,Salmoniformes,Esociformes,Esocidae,Esox
Berardius bairdii,Animalia,Chordata,Mammalia,Artiodactyla,Cetacea,Hyperoodontidae,Berardius
Lutjanus argentiventris,Animalia,Chordata,,Acanthuriformes,Perciformes,Lutjanidae,Lutjanus
Pterois volitans,Animalia,Chordata,,Perciformes,Scorpaeniformes,Scorpaenidae,Pterois
Gibbonsia metzi,Animalia,Chordata,,Blenniiformes,Perciformes,Clinidae,Gibbonsia
Trinectes maculatus,Animalia,Chordata,,Carangiformes,Pleuronectiformes,Achiridae,Trinectes
Enophrys bison,Animalia,Chordata,,Perciformes,Scorpaeniformes,Cottidae,Enophrys
Taurulus bubalis,Animalia,Chordata,,Perciformes,Scorpaeniformes,Cottidae,Taurulus
Lepomis gibbosus,Animalia,Chordata,,Centrarchiformes,Perciformes,Centrarchidae,Lepomis
Leptocottus armatus,Animalia,Chordata,,Perciformes,Scorpaeniformes,Cottidae,Leptocottus
Lepomis cyanellus,Animalia,Chordata,,Centrarchiformes,Perciformes,Centrarchidae,Lepomis
Sebastes paucispinis,Animalia,Chordata,,Perciformes,Scorpaeniformes,Sebastidae,Sebastes
Myoxocephalus polyacanthocephalus,Animalia,Chordata,,Perciformes,Scorpaeniformes,Cottidae,Myoxocephalus
Pomoxis nigromaculatus,Animalia,Chordata,,Centrarchiformes,Perciformes,Centrarchidae,Pomoxis
Megaptera novaeangliae,Animalia,Chordata,Mammalia,Artiodactyla,Cetacea,Balaenopteridae,Megaptera
Lonsdalea quercina,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacterales,Enterobacteriaceae,Lonsdalea
Pseudocrenilabrus philander,Animalia,Chordata,,Cichliformes,Perciformes,Cichlidae,Pseudocrenilabrus
Cyrtophora moluccensis,Chromista,Ochrophyta,Dictyochophyceae,Araneae,Pedinellales,Cyrtophoraceae,Cyrtophora
Podargus strigoides,Animalia,Chordata,Aves,Podargiformes,Caprimulgiformes,Podargidae,Podargus
Dallia pectoralis,Animalia,Chordata,,Salmoniformes,Esociformes,Umbridae,Dallia
Orcinus orca,Animalia,Chordata,Mammalia,Artiodactyla,Cetacea,Delphinidae,Orcinus
Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Artiodactyla,Cetacea,Balaenopteridae,Balaenoptera
Erinaceus europaeus,Animalia,Chordata,Mammalia,Eulipotyphla,Erinaceomorpha,Erinaceidae,Erinaceus
Cymatogaster aggregata,Animalia,Chordata,,Blenniiformes,Perciformes,Embiotocidae,Cymatogaster
Scorpaenichthys marmoratus,Animalia,Chordata,,Perciformes,Scorpaeniformes,Cottidae,Scorpaenichthys
Acanthogobius flavimanus,Animalia,Chordata,,Gobiiformes,Perciformes,Gobiidae,Acanthogobius
Vasates quadripedes,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Trombidiformes,Eriophyidae,Vasates
Micropterus dolomieu,Animalia,Chordata,,Centrarchiformes,Perciformes,Centrarchidae,Micropterus
Neogobius melanostomus,Animalia,Chordata,,Gobiiformes,Perciformes,Gobiidae,Neogobius
Pollicipes polymerus,Animalia,Arthropoda,Maxillopoda,Pollicipedomorpha,Pedunculata,Pollicipedidae,Pollicipes
Aceria erinea,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Trombidiformes,Eriophyidae,Aceria
Trachinotus falcatus,Animalia,Chordata,,Carangiformes,Perciformes,Carangidae,Trachinotus
Gasterosteus aculeatus,Animalia,Chordata,,Perciformes,Gasterosteiformes,Gasterosteidae,Gasterosteus
Scapanus latimanus,Animalia,Chordata,Mammalia,Eulipotyphla,Soricomorpha,Talpidae,Scapanus
Balaenoptera edeni,Animalia,Chordata,Mammalia,Artiodactyla,Cetacea,Balaenopteridae,Balaenoptera
Aceria lantanae,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Trombidiformes,Eriophyidae,Aceria
Aceria aloinis,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Trombidiformes,Eriophyidae,Aceria
